Continent,Country,State/Province,City
Asia,Afghanistan,Kabul,Baghrami
Asia,Afghanistan,Kabul,Kabul
Asia,Afghanistan,Kabul,Mir Bachchekut
Asia,Afghanistan,Kabul,Paghman
Asia,Afghanistan,Kabul,Qarabagh
Asia,Afghanistan,Kabul,Sarawbi
Asia,Afghanistan,Kapisa,Mahmud-e Raqi
Asia,Afghanistan,Kapisa,Taghab
Asia,Afghanistan,Khawst,Khawst
Asia,Afghanistan,Kunar,Asadabad
Asia,Afghanistan,Kunar,Asmar
Asia,Afghanistan,Lagman,Mehtar Lam
Asia,Afghanistan,Lawghar,Azraw
Asia,Afghanistan,Lawghar,Baraki Barak
Asia,Afghanistan,Lawghar,Pol-e Alam
Asia,Afghanistan,Nangarhar,Achin
Asia,Afghanistan,Nangarhar,Batsawul
Asia,Afghanistan,Nangarhar,Hugyani
Asia,Afghanistan,Nangarhar,Jalalabad
Asia,Afghanistan,Nangarhar,Nader Shah Kawt
Asia,Afghanistan,Nimruz,Chahar Burjak
Asia,Afghanistan,Nimruz,Chakhansur
Asia,Afghanistan,Nimruz,Khash
Asia,Afghanistan,Nimruz,Mirabad
Asia,Afghanistan,Nimruz,Rudbar
Asia,Afghanistan,Nimruz,Zaranj
Asia,Afghanistan,Nuristan,Nuristan
Asia,Afghanistan,Paktika,Orgun
Asia,Afghanistan,Paktika,Zareh Sharan
Asia,Afghanistan,Paktika,Zarghun Shahr
Asia,Afghanistan,Paktiya,'Ali Khayl
Asia,Afghanistan,Paktiya,Ghardez
Asia,Afghanistan,Parwan,Charikar
Asia,Afghanistan,Parwan,Jabal-os-Saraj
Asia,Afghanistan,Qandahar,Qandahar
Asia,Afghanistan,Qunduz,Dasht-e Archa
Asia,Afghanistan,Qunduz,Emam Saheb
Asia,Afghanistan,Qunduz,Hazart Imam
Asia,Afghanistan,Qunduz,Khanabad
Asia,Afghanistan,Qunduz,Qal'eh-ye Zal
Asia,Afghanistan,Qunduz,Qunduz
Asia,Afghanistan,Samangan,Aybak
Asia,Afghanistan,Samangan,Kholm
Asia,Afghanistan,Takhar,Chah Ab
Asia,Afghanistan,Takhar,Eshkamesh
Asia,Afghanistan,Takhar,Farkhar
Asia,Afghanistan,Takhar,Khwajeh Ghar
Asia,Afghanistan,Takhar,Rostaq
Asia,Afghanistan,Takhar,Taloqan
Asia,Afghanistan,Takhar,Yangi Qal'eh
Asia,Afghanistan,Uruzgan,Deh Rawud
Asia,Afghanistan,Uruzgan,Gaz Ab
Asia,Afghanistan,Uruzgan,Tarin Kawt
Asia,Afghanistan,Uruzgan,Uruzgan
Asia,Afghanistan,Wardag,Gardan Diwal
Asia,Afghanistan,Wardag,Maydanshahr
Asia,Afghanistan,Zabul,Qalat-e Ghilzay
Europe,Albania,Berat,Berat
Europe,Albania,Berat,Polican
Europe,Albania,Berat,Ure Vajgurore
Europe,Albania,Bulqize,Bulqize
Europe,Albania,Delvine,Delvine
Europe,Albania,Devoll,Bilisht
Europe,Albania,Dibre,Maqellare
Europe,Albania,Dibre,Peshkopi
Europe,Albania,Durres,Durres
Europe,Albania,Durres,Shijak
Europe,Albania,Elbasan,Cerrik
Europe,Albania,Elbasan,Elbasan
Europe,Albania,Elbasan,Kerrabe
Europe,Albania,Fier,Fier
Europe,Albania,Fier,Patos
Europe,Albania,Fier,Roskovec
Europe,Albania,Gjirokaster,Gjirokaster
Europe,Albania,Gjirokaster,Libohove
Europe,Albania,Gramsh,Gramsh
Europe,Albania,Has,Krume
Europe,Albania,Kavaje,Kavaje
Europe,Albania,Kolonje,Erseke
Europe,Albania,Kolonje,Leskovik
Europe,Albania,Korce,Korce
Europe,Albania,Korce,Maliq
Europe,Albania,Kruje,Fushe-Kruje
Europe,Albania,Kruje,Kruje
Europe,Albania,Kruje,Mamurras
Europe,Albania,Kruje,Milot
Europe,Albania,Kucove,Kucove
Europe,Albania,Kukes,Kukes
Europe,Albania,Kurbin,Lac
Europe,Albania,Lezhe,Lezhe
Europe,Albania,Lezhe,Shengjin
Europe,Albania,Librazhd,Librazhd
Europe,Albania,Librazhd,Perrenjas
Europe,Albania,Lushnje,Lushnje
Europe,Albania,Lushnje,Rrogozhine
Europe,Albania,Mallakaster,Ballsh
Europe,Albania,Mat,Burrel
Europe,Albania,Mat,Klos
Europe,Albania,Mat,Kraste
Europe,Albania,Mat,Ulze
Europe,Albania,Mirdite,Kurbnesh
Europe,Albania,Mirdite,Rreshen
Europe,Albania,Mirdite,Rubik
Europe,Albania,Peqin,Peqin
Europe,Albania,Permet,Kelcyre
Europe,Albania,Permet,Permet
Europe,Albania,Pogradec,Pogradec
Europe,Albania,Puke,Fierze
Europe,Albania,Puke,Fushe-Arrez
Europe,Albania,Puke,Puke
Europe,Albania,Sarande,Konispol
Europe,Albania,Sarande,Sarande
Europe,Albania,Shkoder,Shkoder
Europe,Albania,Skrapar,Corovode
Europe,Albania,Tepelene,Memaliaj
Europe,Albania,Tepelene,Tepelene
Europe,Albania,Tirane,Kamze
Europe,Albania,Tirane,Paskuqan
Europe,Albania,Tirane,Tirane
Europe,Albania,Tirane,Vore
Europe,Albania,Tropoje,Bajram Curri
Europe,Albania,Vlore,Himare
Europe,Albania,Vlore,Orikum
Europe,Albania,Vlore,Selenice
Europe,Albania,Vlore,Vlore
Africa,Algeria,Adrar,Adrar
Africa,Algeria,Adrar,Awlaf
Africa,Algeria,Adrar,Rijan
Africa,Algeria,Adrar,Timimun
Africa,Algeria,Algiers,Hydra
Africa,Algeria,Algiers,Kouba
Africa,Algeria,Annabah,Annabah
Africa,Algeria,Annabah,Birrahhal
Africa,Algeria,Annabah,Saraydih
Africa,Algeria,Annabah,Sidi Amar
Africa,Algeria,Annabah,al-Buni
Africa,Algeria,Annabah,al-Hajar
Africa,Algeria,Bashshar,'Abadlah
Africa,Algeria,Bashshar,Bani Wanif
Africa,Algeria,Bashshar,Bashshar
Africa,Algeria,Bashshar,Qanadsan
Africa,Algeria,Bashshar,Taghit
Africa,Algeria,Batnah,'Aris
Africa,Algeria,Batnah,'Ayn Tutah
Africa,Algeria,Batnah,Barikah
Africa,Algeria,Batnah,Batnah
Africa,Algeria,Batnah,Marwanah
Africa,Algeria,Batnah,Naghaus
Africa,Algeria,Batnah,Ra's-al-'Ayun
Africa,Algeria,Batnah,Tazult
Africa,Algeria,Bijayah,'Ayt Rizin
Africa,Algeria,Bijayah,Akbu
Africa,Algeria,Bijayah,Amizur
Africa,Algeria,Bijayah,Barbasha
Africa,Algeria,Bijayah,Bijayah
Africa,Algeria,Bijayah,Farrawn
Africa,Algeria,Bijayah,Ighram
Africa,Algeria,Bijayah,Sadduk
Africa,Algeria,Bijayah,Shamini
Africa,Algeria,Bijayah,Sidi 'Aysh
Africa,Algeria,Bijayah,Taskaryut
Africa,Algeria,Bijayah,Tazmalt
Africa,Algeria,Bijayah,Timazrit
Africa,Algeria,Bijayah,Uz-al-Laqin
Africa,Algeria,Bijayah,al-Qasr
Africa,Algeria,Biskrah,Awlad Jallal
Africa,Algeria,Biskrah,Biskrah
Africa,Algeria,Biskrah,Sidi Khalid
Africa,Algeria,Biskrah,Sidi Ukbah
Africa,Algeria,Biskrah,Tulja
Africa,Algeria,Biskrah,Um'ash
Africa,Algeria,Biskrah,Zaribat-al-Wad
Africa,Algeria,Blidah,Awlad Salam
Africa,Algeria,Blidah,Awlad Yaysh
Africa,Algeria,Blidah,Bani Khalil
Africa,Algeria,Blidah,Bani Marad
Africa,Algeria,Blidah,Bani Tamu
Africa,Algeria,Blidah,Blidah
Africa,Algeria,Blidah,Bu Arfa
Africa,Algeria,Blidah,Bufarik
Africa,Algeria,Blidah,Buinan
Africa,Algeria,Blidah,Buqara
Africa,Algeria,Blidah,Maftah
Africa,Algeria,Blidah,Muzayah
Africa,Algeria,Blidah,Shabli
Africa,Algeria,Blidah,Shari'ah
Africa,Algeria,Blidah,Shiffa
Africa,Algeria,Blidah,Sidi Mussa
Africa,Algeria,Blidah,Suma
Africa,Algeria,Blidah,Wadi al-Allagh
Africa,Algeria,Blidah,al-'Afrun
Africa,Algeria,Blidah,al-Arba'a
Africa,Algeria,Buirah,'Ayn Bissim
Africa,Algeria,Buirah,Aghbalu
Africa,Algeria,Buirah,Bi'r Ghabalu
Africa,Algeria,Buirah,Buirah
Africa,Algeria,Buirah,Lakhdariyah
Africa,Algeria,Buirah,Shurfa
Africa,Algeria,Buirah,Sur-al-Ghuzlan
Africa,Algeria,Bumardas,'Ayn Tayah
Africa,Algeria,Bumardas,Awlad Haddaj
Africa,Algeria,Bumardas,Awlad Mussa
Africa,Algeria,Bumardas,Bani Amran
Africa,Algeria,Bumardas,Budwawu
Africa,Algeria,Bumardas,Budwawu al-Bahri
Africa,Algeria,Bumardas,Bumardas
Africa,Algeria,Bumardas,Burj Minayal
Africa,Algeria,Bumardas,Dalis
Africa,Algeria,Bumardas,Hammadi
Africa,Algeria,Bumardas,Issar
Africa,Algeria,Bumardas,Khamis-al-Khashnah
Africa,Algeria,Bumardas,Nasiriyah
Africa,Algeria,Bumardas,Raghayah
Africa,Algeria,Bumardas,Sa'abat
Africa,Algeria,Bumardas,Tinyah
Africa,Algeria,Bumardas,al-Arba'a Tash
Africa,Algeria,Bumardas,ar-Ruwibah
Africa,Algeria,Ghalizan,Ammi Mussa
Africa,Algeria,Ghalizan,Ghalizan
Africa,Algeria,Ghalizan,Jidiwiyah
Africa,Algeria,Ghalizan,Mazunah
Africa,Algeria,Ghalizan,Sidi Muhammad Ban 'Ali
Africa,Algeria,Ghalizan,Wadi Rahiyu
Africa,Algeria,Ghalizan,Zammurah
Africa,Algeria,Ghardayah,Biryan
Africa,Algeria,Ghardayah,Bu Nura
Africa,Algeria,Ghardayah,Ghardaia
Africa,Algeria,Ghardayah,Ghardayah
Africa,Algeria,Ghardayah,Matlili
Africa,Algeria,Ghardayah,al-Ghuli'ah
Africa,Algeria,Ghardayah,al-Qararah
Africa,Algeria,Ilizi,Ilizi
Africa,Algeria,Jijili,Amir 'Abd-al-Qadar
Africa,Algeria,Jijili,Jijili
Africa,Algeria,Jijili,Shifka
Africa,Algeria,Jijili,Tahar
Africa,Algeria,Jijili,al-Miliyah
Africa,Algeria,Jilfah,'Ayn Wissarah
Africa,Algeria,Jilfah,'Ayn-al-Ibil
Africa,Algeria,Jilfah,Birin
Africa,Algeria,Jilfah,Dar Shiyukh
Africa,Algeria,Jilfah,Hassi Bahbah
Africa,Algeria,Jilfah,Jilfah
Africa,Algeria,Jilfah,Mis'ad
Africa,Algeria,Jilfah,Sharif
Africa,Algeria,Jilfah,al-Idrisiyah
Africa,Algeria,Khanshalah,Khanshalah
Africa,Algeria,Khanshalah,Sharshar
Africa,Algeria,Khanshalah,Tawziyanat
Africa,Algeria,Khanshalah,al-Mahmal
Africa,Algeria,Masilah,'Ayn-al-Hajal
Africa,Algeria,Masilah,'Ayn-al-Milh
Africa,Algeria,Masilah,Bu Sa'adah
Africa,Algeria,Masilah,Hammam Dhala'a
Africa,Algeria,Masilah,Ma'adid
Africa,Algeria,Masilah,Maghra
Africa,Algeria,Masilah,Masilah
Africa,Algeria,Masilah,Sidi 'Aysa
Africa,Algeria,Masilah,Wanugha
Africa,Algeria,Midyah,'Ayn Bu Sif
Africa,Algeria,Midyah,Birwaghiyah
Africa,Algeria,Midyah,Midyah
Africa,Algeria,Midyah,Qasr-al-Bukhari
Africa,Algeria,Midyah,Shillalah
Africa,Algeria,Midyah,Tablat
Africa,Algeria,Milah,Farjiwah
Africa,Algeria,Milah,Milah
Africa,Algeria,Milah,Qararam Quqa
Africa,Algeria,Milah,Ruwashad
Africa,Algeria,Milah,Salghum-al-'Ayd
Africa,Algeria,Milah,Sidi Maruf
Africa,Algeria,Milah,Sidi Marwan
Africa,Algeria,Milah,Tajananah
Africa,Algeria,Milah,Talighmah
Africa,Algeria,Milah,Wadi Athmaniyah
Africa,Algeria,Muaskar,Bu Khanifiyah
Africa,Algeria,Muaskar,Muaskar
Africa,Algeria,Muaskar,Muhammadiyah
Africa,Algeria,Muaskar,Siq
Africa,Algeria,Muaskar,Tighinnif
Africa,Algeria,Muaskar,Wadi al-Abtal
Africa,Algeria,Muaskar,Zahana
Africa,Algeria,Mustaghanam,'Ayn Tadalas
Africa,Algeria,Mustaghanam,Hassi Mamash
Africa,Algeria,Mustaghanam,Mazaghran
Africa,Algeria,Mustaghanam,Mustaghanam
Africa,Algeria,Mustaghanam,Sidi Ali
Africa,Algeria,Naama,'Ayn Safra
Africa,Algeria,Naama,Mishriyah
Africa,Algeria,Naama,Naama
Africa,Algeria,Oran,Oran
Africa,Algeria,Ouargla,Ouargla
Africa,Algeria,Qalmah,'Ayn Bardah
Africa,Algeria,Qalmah,Bumahra Ahmad
Africa,Algeria,Qalmah,Hamman Awlad 'Ali
Africa,Algeria,Qalmah,Qalmah
Africa,Algeria,Qalmah,Wadi Zinati
Africa,Algeria,Qustantinah,'Ayn Abid
Africa,Algeria,Qustantinah,'Ayn Samara
Africa,Algeria,Qustantinah,Didush Murad
Africa,Algeria,Qustantinah,Hamma Bu Ziyan
Africa,Algeria,Qustantinah,Qustantinah
Africa,Algeria,Qustantinah,Zighut Yusuf
Africa,Algeria,Qustantinah,al-Khurub
Africa,Algeria,Sakikdah,'Azzabah
Africa,Algeria,Sakikdah,Amjaz Adshish
Africa,Algeria,Sakikdah,Fil Fila
Africa,Algeria,Sakikdah,Karkira
Africa,Algeria,Sakikdah,Ramadan Jamal
Africa,Algeria,Sakikdah,Sakikdah
Africa,Algeria,Sakikdah,Shataybih
Africa,Algeria,Sakikdah,Tamalus
Africa,Algeria,Sakikdah,al-Harush
Africa,Algeria,Sakikdah,al-Qull
Africa,Algeria,Satif,'Ayn 'Azl
Africa,Algeria,Satif,'Ayn Arnat
Africa,Algeria,Satif,'Ayn Taqrut
Africa,Algeria,Satif,'Ayn Wilman
Africa,Algeria,Satif,'Ayn-al-Khabira
Africa,Algeria,Satif,Bouira
Africa,Algeria,Satif,Buq'ah
Africa,Algeria,Satif,Salah Bay
Africa,Algeria,Satif,Satif
Africa,Algeria,Satif,Setif
Africa,Algeria,Satif,Ziyama Mansuriyah
Africa,Algeria,Satif,al-'Ulmah
Africa,Algeria,Sayda','Ayn-al-Hajar
Africa,Algeria,Sayda',Sayda'
Africa,Algeria,Tamanghasat,'Ayn Qazzan
Africa,Algeria,Tamanghasat,'Ayn Salah
Africa,Algeria,Tamanghasat,Tamanghasat
Africa,Algeria,Tibazah,'Ayn Binyan
Africa,Algeria,Tibazah,Bu Isma'il
Africa,Algeria,Tibazah,Bu Midfar'ah
Africa,Algeria,Tibazah,Damus
Africa,Algeria,Tibazah,Duwirah
Africa,Algeria,Tibazah,Hajut
Africa,Algeria,Tibazah,Hammam Righa
Africa,Algeria,Tibazah,Sawlah
Africa,Algeria,Tibazah,Shiragha
Africa,Algeria,Tibazah,Shirshall
Africa,Algeria,Tibazah,Sidi Farj
Africa,Algeria,Tibazah,Stawali
Africa,Algeria,Tibazah,Tibazah
Africa,Algeria,Tibazah,Ziralda
Africa,Algeria,Tibazah,al-Qull'ah
Africa,Algeria,Tibissah,Bi'r-al-'Itir
Africa,Algeria,Tibissah,Hammamat
Africa,Algeria,Tibissah,Mursut
Africa,Algeria,Tibissah,Shariyah
Africa,Algeria,Tibissah,Tibissah
Africa,Algeria,Tibissah,Winzah
Africa,Algeria,Tibissah,al-'Awaynat
Africa,Algeria,Tilimsan,Awlad Mimun
Africa,Algeria,Tilimsan,Bani Mastar
Africa,Algeria,Tilimsan,Bani Sikran
Africa,Algeria,Tilimsan,Ghazawat
Africa,Algeria,Tilimsan,Hannayah
Africa,Algeria,Tilimsan,Maghniyah
Africa,Algeria,Tilimsan,Nidruma
Africa,Algeria,Tilimsan,Ramsh
Africa,Algeria,Tilimsan,Sabra
Africa,Algeria,Tilimsan,Shatwan
Africa,Algeria,Tilimsan,Sibdu
Africa,Algeria,Tilimsan,Sidi 'Abdallah
Africa,Algeria,Tilimsan,Tilimsan
Africa,Algeria,Tilimsan,al-Mansurah
Africa,Algeria,Tinduf,Tinduf
Africa,Algeria,Tisamsilt,Thaniyat-al-Had
Africa,Algeria,Tisamsilt,Tisamsilt
Africa,Algeria,Tiyarat,'Ayn Dhahab
Africa,Algeria,Tiyarat,Firindah
Africa,Algeria,Tiyarat,Mahdiyah
Africa,Algeria,Tiyarat,Mashra'a Asfa
Africa,Algeria,Tiyarat,Qasr Shillalah
Africa,Algeria,Tiyarat,Rahuyah
Africa,Algeria,Tiyarat,Sughar
Africa,Algeria,Tiyarat,Takhamarat
Africa,Algeria,Tiyarat,Tiyarat
Africa,Algeria,Umm-al-Bawaghi,'Ayn Bayda
Africa,Algeria,Umm-al-Bawaghi,'Ayn Fakrun
Africa,Algeria,Umm-al-Bawaghi,'Ayn Kirshah
Africa,Algeria,Umm-al-Bawaghi,'Ayn Malilah
Africa,Algeria,Umm-al-Bawaghi,Bi'r Shuhada
Africa,Algeria,Umm-al-Bawaghi,Miskyanah
Africa,Algeria,Umm-al-Bawaghi,Shamurah
Africa,Algeria,Umm-al-Bawaghi,Umm-al-Bawaghi
Africa,Algeria,Wahran,'Ayn Biya
Africa,Algeria,Wahran,'Ayn-at-Turk
Africa,Algeria,Wahran,Arzu
Africa,Algeria,Wahran,Bi'r-al-Jir
Africa,Algeria,Wahran,Butlilis
Africa,Algeria,Wahran,Hassi Bu Nif
Africa,Algeria,Wahran,Mars-al-Kabir
Africa,Algeria,Wahran,Qadayal
Africa,Algeria,Wahran,Sidi ash-Shami
Africa,Algeria,Wahran,Wadi Thalatha
Africa,Algeria,Wahran,Wahran
Africa,Algeria,Wahran,al-Ansur
Africa,Algeria,Wahran,as-Saniyah
Africa,Algeria,Warqla,Hassi Mas'ud
Africa,Algeria,Warqla,Nazla
Africa,Algeria,Warqla,Ruwisiyat
Africa,Algeria,Warqla,Tabisbast
Africa,Algeria,Warqla,Tamalhat
Africa,Algeria,Warqla,Tamasin
Africa,Algeria,Warqla,Tayabat-al-Janubiyah
Africa,Algeria,Warqla,Tughghurt
Africa,Algeria,Warqla,Warqla
Africa,Algeria,Warqla,al-Hajirah
Africa,Algeria,al-Aghwat,Aflu
Africa,Algeria,al-Aghwat,Hassi al-Raml
Africa,Algeria,al-Aghwat,al-Aghwat
Africa,Algeria,al-Bayadh,Brizyanah
Africa,Algeria,al-Bayadh,al-Abyad Sidi Shaykh
Africa,Algeria,al-Bayadh,al-Bayadh
Africa,Algeria,al-Jaza'ir,Bab Azwar
Africa,Algeria,al-Jaza'ir,Baraki
Africa,Algeria,al-Jaza'ir,Bir Murad Rais
Africa,Algeria,al-Jaza'ir,Birkhadam
Africa,Algeria,al-Jaza'ir,Burj-al-Kiffan
Africa,Algeria,al-Jaza'ir,Dar-al-Bayda
Africa,Algeria,al-Jaza'ir,al-Jaza'ir
Africa,Algeria,al-Wad,Bayadha
Africa,Algeria,al-Wad,Dabilah
Africa,Algeria,al-Wad,Hassan 'Abd-al-Karim
Africa,Algeria,al-Wad,Hassi Halifa
Africa,Algeria,al-Wad,Jama'a
Africa,Algeria,al-Wad,Maqran
Africa,Algeria,al-Wad,Qamar
Africa,Algeria,al-Wad,Raqiba
Africa,Algeria,al-Wad,Rubbah
Africa,Algeria,al-Wad,Sidi Amran
Africa,Algeria,al-Wad,al-Mighair
Africa,Algeria,al-Wad,al-Wad
Africa,Algeria,ash-Shalif,'Ayn Maran
Africa,Algeria,ash-Shalif,Abu al-Hassan
Africa,Algeria,ash-Shalif,Bani Hawa
Africa,Algeria,ash-Shalif,Bu Qadir
Africa,Algeria,ash-Shalif,Sidi Ukaskah
Africa,Algeria,ash-Shalif,Tanas
Africa,Algeria,ash-Shalif,Wadi Sali
Africa,Algeria,ash-Shalif,Wadi al-Fiddah
Africa,Algeria,ash-Shalif,ash-Shalif
Africa,Algeria,ash-Shalif,ash-Shattiyah
Africa,Algeria,at-Tarif,Ban Mahdi
Africa,Algeria,at-Tarif,Bani Amar
Africa,Algeria,at-Tarif,Basbas
Africa,Algeria,at-Tarif,Dariyan
Africa,Algeria,at-Tarif,Saba'ita Muk
Africa,Algeria,at-Tarif,al-Qal'ah
Africa,Algeria,at-Tarif,at-Tarif
Europe,Andorra,Canillo,Canillo
Europe,Andorra,Encamp,Encamp
Europe,Andorra,Ordino,Ordino
Africa,Angola,Bengo,Caxito
Africa,Angola,Benguela,Benguela
Africa,Angola,Benguela,Lobito
Africa,Angola,Bie,Camacupa
Africa,Angola,Bie,Catabola
Africa,Angola,Bie,Catumbela
Africa,Angola,Bie,Chissamba
Africa,Angola,Bie,Kuito
Africa,Angola,Cabinda,Cabinda
Africa,Angola,Cunene,Ondjiva
Africa,Angola,Huambo,Caala
Africa,Angola,Huambo,Catchiungo
Africa,Angola,Huambo,Huambo
Africa,Angola,Huambo,Longonjo
Africa,Angola,Huila,Caconda
Africa,Angola,Huila,Caluquembe
Africa,Angola,Huila,Lubango
Africa,Angola,Kuando-Kubango,Menongue
Africa,Angola,Luanda,Luanda
Africa,Angola,Malanje,Malanje
Africa,Angola,Moxico,Cazaje
Africa,Angola,Moxico,Leua
Africa,Angola,Moxico,Luau
Africa,Angola,Moxico,Luena
Africa,Angola,Moxico,Lumeje
Africa,Angola,Namibe,Namibe
Africa,Angola,Uige,Camabatela
Africa,Angola,Uige,Uige
Africa,Angola,Zaire,M'banza-Kongo
Africa,Angola,Zaire,N'zeto
Africa,Angola,Zaire,Soyo
South America,Argentina,Catamarca,Catamarca
South America,Argentina,Chaco,Presidencia Roque Saenz Pena
South America,Argentina,Chaco,Resistencia
South America,Argentina,Chubut,Comodoro Rivadavia
South America,Argentina,Chubut,Puerto Madryn
South America,Argentina,Chubut,Rawson
South America,Argentina,Chubut,Trelew
South America,Argentina,Cordoba,Alta Gracia
South America,Argentina,Cordoba,Bell Ville
South America,Argentina,Cordoba,Cordoba
South America,Argentina,Cordoba,Rio Cuarto
South America,Argentina,Cordoba,Rio Tercero
South America,Argentina,Cordoba,San Francisco
South America,Argentina,Cordoba,Villa Carlos Paz
South America,Argentina,Cordoba,Villa Maria
South America,Argentina,Corrientes,Corrientes
South America,Argentina,Corrientes,Goya
South America,Argentina,Corrientes,Mercedes
South America,Argentina,Corrientes,San Lorenzo
South America,Argentina,Formosa,Formosa
South America,Argentina,Jujuy,Jujuy
South America,Argentina,Jujuy,Libertador General San Martin
South America,Argentina,Jujuy,San Pedro
South America,Argentina,Mendoza,Godoy Cruz
South America,Argentina,Mendoza,Lujan
South America,Argentina,Mendoza,Mendoza
South America,Argentina,Mendoza,Rivadavia
South America,Argentina,Mendoza,San Martin
South America,Argentina,Mendoza,San Rafael
South America,Argentina,Misiones,Eldorado
South America,Argentina,Misiones,Obera
South America,Argentina,Misiones,Posadas
South America,Argentina,Neuquen,Cutral Co
South America,Argentina,Neuquen,Neuquen
South America,Argentina,Salta,Salta
South America,Argentina,Salta,San Ramon de la Nueva Oran
South America,Argentina,Salta,Tartagal
South America,Argentina,Tucuman,Tucuman
Asia,Armenia,Aragatsotn,Ashtarak
Asia,Armenia,Aragatsotn,Talin
Asia,Armenia,Ararat,Ararat
Asia,Armenia,Ararat,Artashat
Asia,Armenia,Armavir,Armavir
Asia,Armenia,Armavir,Vagharshapat
Asia,Armenia,Gegharkunik,Gavar
Asia,Armenia,Gegharkunik,Martuni
Asia,Armenia,Gegharkunik,Sevan
Asia,Armenia,Gegharkunik,Vardenis
Asia,Armenia,Kotaik,Abovyan
Asia,Armenia,Kotaik,Arzni
Asia,Armenia,Kotaik,Charentsavan
Asia,Armenia,Kotaik,Hrazdan
Asia,Armenia,Lori,Akhtala
Asia,Armenia,Lori,Alaverdi
Asia,Armenia,Lori,Spitak
Asia,Armenia,Lori,Stepanavan
Asia,Armenia,Lori,Tashir
Asia,Armenia,Lori,Vanadzor
Asia,Armenia,Shirak,Artik
Asia,Armenia,Shirak,Gyumri
Asia,Armenia,Stepanakert,Stepanakert
Asia,Armenia,Syunik,Angeghakot
Asia,Armenia,Syunik,Goris
Asia,Armenia,Syunik,Kajaran
Asia,Armenia,Syunik,Kapan
Asia,Armenia,Syunik,Meghri
Asia,Armenia,Syunik,Sisian
Asia,Armenia,Tavush,Dilijan
Asia,Armenia,Tavush,Ijevan
Asia,Armenia,Yerevan,Yerevan
Australia,Australia,Auckland,Glenfield
Australia,Australia,Auckland,Henderson
Australia,Australia,Auckland,Milford
Australia,Australia,Balgowlah,Balgowlah
Australia,Australia,Balmain,Balmain
Australia,Australia,Bankstown,Bankstown
Australia,Australia,Camberwell,Camberwell
Australia,Australia,Caulfield,Caulfield
Australia,Australia,Chatswood,Chatswood
Australia,Australia,Cheltenham,Cheltenham
Australia,Australia,Cherrybrook,Cherrybrook
Australia,Australia,Clayton,Clayton
Australia,Australia,Collingwood,Collingwood
Australia,Australia,Hawthorn,Hawthorn
Australia,Australia,Jannnali,Jannnali
Australia,Australia,Knoxfield,Knoxfield
Australia,Australia,Melbourne,Melbourne
Australia,Australia,Melbourne,South Oakleigh
Australia,Australia,Perth,Cottesole
Australia,Australia,Perth,Darch
Australia,Australia,Perth,Mullaloo
Australia,Australia,Perth,Noranda
Australia,Australia,Perth,Osborne Park
Australia,Australia,Perth,Willetton
